Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
2016.0,2.3,Petrol,Manual,114832.0,New,20000-30000,Model X
2018.0,4.4,Electric,Manual,143190.0,Used,10000-20000,5 Series
2013.0,4.5,Electric,Manual,181601.0,New,40000-50000,A4
2011.0,4.1,Diesel,Automatic,68682.0,New,80000-90000,Model Y
2009.0,2.6,Diesel,Manual,223009.0,Like New,70000-80000,Mustang
2019.0,2.4,Diesel,Automatic,246553.0,Like New,80000-90000,Q7
2020.0,4.0,Electric,Automatic,135486.0,Used,60000-70000,Q5
2017.0,5.3,Hybrid,Automatic,83030.0,New,10000-20000,Model Y
2023.0,5.7,Electric,Manual,120360.0,Like New,10000-20000,Civic
2010.0,1.5,Electric,Automatic,135009.0,Like New,0-10000,Explorer
2001.0,1.8,Diesel,Automatic,298875.0,Like New,50000-60000,Model 3
2017.0,5.7,Electric,Automatic,169737.0,Used,20000-30000,Mustang
2006.0,4.7,Petrol,Automatic,114360.0,New,70000-80000,Fiesta
2023.0,5.4,Electric,Automatic,263894.0,Like New,70000-80000,Q7
2014.0,2.0,Electric,Automatic,65018.0,New,30000-40000,X3
2010.0,3.9,Electric,Automatic,240904.0,Used,20000-30000,Mustang
2017.0,4.5,Electric,Automatic,136817.0,New,10000-20000,GLA
2022.0,4.4,Hybrid,Automatic,192803.0,Like New,70000-80000,A3
2011.0,3.0,Electric,Automatic,86984.0,New,40000-50000,Civic
2005.0,1.1,Petrol,Automatic,290595.0,New,30000-40000,X5
2019.0,3.9,Petrol,Automatic,192608.0,Used,80000-90000,C-Class
2022.0,2.3,Electric,Manual,12150.0,Used,60000-70000,E-Class
2012.0,3.3,Diesel,Manual,275550.0,New,50000-60000,CR-V
2019.0,5.8,Hybrid,Automatic,150853.0,New,70000-80000,X5
2015.0,3.0,Electric,Automatic,188489.0,New,80000-90000,Q5
2017.0,5.2,Electric,Automatic,18325.0,Used,70000-80000,Camry
2009.0,1.9,Electric,Manual,199756.0,Used,40000-50000,X3
2022.0,4.4,Diesel,Manual,204541.0,New,40000-50000,Accord
2007.0,5.9,Diesel,Manual,17669.0,Used,70000-80000,GLC
2017.0,1.5,Diesel,Automatic,207836.0,Like New,50000-60000,A3
2020.0,1.0,Hybrid,Automatic,132915.0,Used,70000-80000,X5
2000.0,3.2,Petrol,Automatic,196681.0,Used,80000-90000,Corolla
2022.0,1.5,Hybrid,Automatic,50812.0,Used,90000-100000,Corolla
2007.0,4.7,Diesel,Manual,278203.0,Like New,30000-40000,Fiesta
2005.0,5.6,Petrol,Automatic,252862.0,Like New,20000-30000,Mustang
2004.0,3.2,Petrol,Manual,171840.0,Like New,20000-30000,Model 3
2014.0,2.3,Diesel,Manual,25395.0,New,70000-80000,Fit
2021.0,3.2,Diesel,Automatic,282346.0,New,40000-50000,5 Series
2014.0,4.6,Hybrid,Manual,229707.0,Like New,20000-30000,X3
2001.0,1.0,Diesel,Manual,247181.0,New,10000-20000,Model X
2000.0,3.9,Petrol,Manual,204120.0,New,30000-40000,E-Class
2022.0,4.1,Electric,Manual,224839.0,New,10000-20000,GLA
2022.0,4.2,Diesel,Automatic,219882.0,Like New,10000-20000,Model Y
2017.0,1.5,Hybrid,Automatic,87945.0,Like New,10000-20000,5 Series
2017.0,2.0,Diesel,Manual,242802.0,New,80000-90000,Model S
2016.0,5.4,Petrol,Automatic,250168.0,New,80000-90000,X5
2007.0,4.7,Petrol,Automatic,2881.0,Used,30000-40000,Prius
2014.0,1.1,Electric,Automatic,111860.0,Used,10000-20000,Explorer
2007.0,2.2,Diesel,Automatic,166415.0,Used,70000-80000,Q5
2016.0,2.1,Hybrid,Automatic,139728.0,Used,30000-40000,Mustang
2011.0,2.4,Petrol,Manual,267885.0,Like New,0-10000,Model S
2007.0,2.2,Electric,Automatic,147733.0,Used,10000-20000,A4
2013.0,1.3,Diesel,Manual,290834.0,Like New,10000-20000,Camry
2003.0,3.3,Petrol,Manual,294977.0,New,60000-70000,Model S
2000.0,4.0,Diesel,Manual,71240.0,New,80000-90000,5 Series
2018.0,4.4,Petrol,Automatic,106898.0,New,50000-60000,Prius
2015.0,1.4,Petrol,Manual,209304.0,Like New,40000-50000,3 Series
2013.0,5.8,Petrol,Manual,80522.0,Used,60000-70000,GLC
2020.0,5.2,Diesel,Automatic,145512.0,Like New,40000-50000,Accord
2015.0,5.0,Diesel,Automatic,119107.0,New,20000-30000,CR-V
2004.0,5.1,Electric,Automatic,22462.0,Used,60000-70000,Camry
2008.0,5.7,Hybrid,Automatic,279965.0,New,80000-90000,Fit
2001.0,3.7,Diesel,Manual,92889.0,New,40000-50000,A4
2017.0,2.0,Hybrid,Automatic,88952.0,Used,80000-90000,CR-V
2005.0,4.1,Petrol,Manual,193596.0,Used,40000-50000,X3
2008.0,4.7,Diesel,Manual,177505.0,Used,40000-50000,5 Series
2000.0,4.7,Electric,Manual,221576.0,Like New,0-10000,Model X
2008.0,3.6,Electric,Manual,219393.0,Like New,70000-80000,5 Series
2015.0,1.3,Hybrid,Manual,275455.0,New,80000-90000,Model S
2012.0,2.9,Petrol,Manual,254084.0,Used,60000-70000,X5
2008.0,5.6,Hybrid,Automatic,129466.0,New,10000-20000,A3
